名前,年齢,性別,居住地,住居情報,職業・役職,会社規模,年収,学歴,家族構成,価値観・人生観,ライフスタイル,趣味・嗜好,目標・理想,購買行動,情報収集方法,使用デバイス,SNS利用状況,日課・タイムスケジュール,悩み,解決したいこと,好きなブランドや商品,よく見る映画・動画チャンネル,人間関係,最近の出来事やエピソード
佐藤 美咲,18,女性,東京都世田谷区,シェアハウス（3LDK）,大学生（通信制）/ パートタイム・バイト（カフェ）,小規模（10人以下）,年収約120万円（パートタイム・バイトの時給900円、週20時間勤務）,高校卒業 / 専門学校進学予定,両親と兄の4人家族。兄は大学生で、現在は大学寮に住んでいる。,自己成長・環境保護・コミュニティ貢献,朝型生活者。平日はバイト後に友人や同僚と食事に行くことが多い。週末は勉強や趣味の時間が多い。,ピアノ演奏、映画鑑賞、手芸、植物育成,将来的には環境に配慮した商品を開発する会社で働きたい。短期的には専門学校に進学し、デザインを学ぶ予定。,価格と品質のバランスを重視。エシカルな製品を好む。,SNS（Instagram、Twitter）、オンラインニュースサイト,スマートフォン（iOS）、タブレット（iPad）,Instagram（毎日1〜2時間）、Twitter（週に数回、合計30分程度）,6:00 起床 → 7:00 朝食・家事 → 8:00 バイトへ出発 → 17:00 バイト終了 → 18:00 友人との時間 / 勉強 → 23:00 就寝,将来的な就職活動での競争、環境問題の深刻化,学業とバイトを両立するための効率的な時間管理法、エシカルで持続可能な生活スタイルの実現方法,無印良品、スターバックス、ユニクロ,Netflix（映画・ドラマ）、YouTube（DIYチャンネル）,友人や同僚との関係が良好。家族とは週1回は食事に行く。,最近、地元の環境保護活動に参加し、新しい仲間を見つけた。また、ピアノのコンクールで入賞した。
佐藤一郎,28,男性,東京都港区,分譲マンション（1LDK）,システムエンジニア,大企業 (従業員数500人以上),年収600万円,大学卒業（情報工学専攻）,単身者、両親と姉が地方に住んでいる,技術革新への貢献、自己成長、家族の幸せ,仕事と趣味をバランスよく楽しむ。週末は友人や同僚との交流が多い。,プログラミング、ゲーム、読書（主にテクノロジーやSF）,将来はCTOになることを目指している。また、副業として自分のアプリを開発してリリースすることを目指している。,商品の機能性と信頼性を重視する。主にオンラインショッピングを利用し、レビューも参考にする。,IT系ニュースサイト、専門誌、SNSでの業界情報,スマートフォン (Android)、タブレット (iPad)、ノートPC (MacBook),Twitter (仕事関連の情報を収集)、Instagram (趣味や日常の写真を投稿)、LinkedIn (業界のネットワーキング),7:00 起床 → 8:00 朝食 & ニュースチェック → 9:00 出社 → 12:00 昼休憩 → 13:00 働き始める → 18:00 退社 → 19:00 夕食 → 20:00 趣味の時間 → 23:00 就寝,仕事のストレス、キャリアアップへの不安、両親の健康,より良いワークライフバランスの実現、スキルアップのための学習リソース、家族との関係性の強化,"Apple, Sony, Microsoft",Netflix (主にドラマとドキュメンタリー)、YouTube (テクノロジー系チャンネル),友人多数、職場での同僚との良好な関係、両親とは週1回電話で連絡を取っている,先月は会社のプロジェクトが成功し、表彰を受けた。来月には実家に帰省する予定
藤田 美咲,27,女性,東京都世田谷区,1Kアパート（賃貸）,IT企業でのシステムエンジニア,大手企業（従業員数：500名以上）,年収420万円,早稲田大学理工学部情報科学科卒業,単身世帯、実家は福岡県在住（両親と弟）,自己成長と職場でのチームワークを重視。社会貢献にも興味がある。,朝型生活者。平日は6時に起床し、7時から8時にかけて自宅で軽い運動をする。仕事帰りには近所のカフェで友人と会うことが多い。,プログラミング、料理、旅行（国内・海外）,30歳までにマネージャーになること。将来的には独立して自分のIT企業を立ち上げたい。,質の良い商品を選び、長く使えるものを好む。価格はあまり気にしない傾向がある。,ニュースアプリ（Yahoo!ニュース）、技術系ブログ、SNSでの情報共有,"MacBook Pro, iPhone, Fitbit",Instagram（写真投稿・友人とのコミュニケーション）、LinkedIn（仕事関連の Networking）,6:00 起床 → 7:00-8:00 自宅での軽い運動と朝食 → 8:30 出勤 → 18:30 帰宅 → 20:00 友人とカフェやオンラインで会話 → 23:00 就寝,仕事の負荷が増えるにつれて、ストレス管理が必要。また、将来的なキャリアパスについて迷いがある。,効率的な時間管理方法を学びたい。メンタルヘルスに関する知識を得て、自分自身と周囲の人々のストレスを減らしたい。,"Apple, Uniqlo, Nike",Netflix（ドラマ・映画）、YouTube（料理動画）,職場での同僚や上司との良好な関係。親しい友人は5人おり、週に1回程度会う。,先月、社内のプロジェクトでチームリーダーを任され、成功させることができた。先週末は大学時代の友人と東京ディズニーランドに行った。
田中健一,35,男性,東京都世田谷区,分譲マンション（3LDK）,システムエンジニア,"大手IT企業（10,000人以上）",年収850万円,私立大学 工学部 卒業,夫婦2人暮らし（結婚7年目、妻はパートタイム勤務）,家族との時間と仕事のバランスを大切にし、将来的には副業も始めたいと考えている。,早起きを心がけ、平日は会社での業務後ジムに通う。週末は妻と一緒に映画を見たり、旅行に出かけたりする。,マラソン、プログラミング、映画鑑賞,将来的には独立して自分のIT企業を設立したい。また、家族と過ごす時間を増やしたい。,必要なものだけを購入し、質の良いものを長く使い続けることを重視する。,ニュースアプリ、専門書籍、オンラインコース,スマートフォン（iOS）、ノートPC（Windows）,Twitter（仕事関連の情報収集）、Instagram（趣味の写真共有）,6:00 起床 -> 7:00 朝食 -> 8:00 出勤 -> 12:00 昼食 -> 18:30 帰宅 -> 20:00 ジムに通う（週3回）-> 22:00 就寝,仕事のストレス、将来的な独立資金の準備、家族との時間の確保,仕事とプライベートのバランスをより良くしたい。また、副業や投資について学びたい。,"Apple, Nike, Sony",Netflix（映画・ドラマ）、YouTube（技術系チャンネル）,職場では上司と良好な関係を築いている。友人は大学時代の同級生や仕事での知り合いが多い。,先月、妻と一緒に沖縄に旅行に行き、美しい海を楽しんだ。また、新入社員のメンターとして活躍している。
佐藤 美咲,35,女性,東京都目黒区,築10年の4LDKマンション（専有面積80平米）,広告代理店のクリエイティブディレクター,"大手企業（3,000人以上）","年収1,000万円",早稲田大学文学部卒業,夫（会社員）、子供2人（長女7歳、次男4歳）,家族の時間と自己実現を大切にし、社会貢献も意識している,平日は朝6時に起き、通勤前に子どもたちの準備をする。帰宅後は家族で夕食を取り、子供たちの宿題を見てから寝る。週末は家族で出かけたり、趣味のピアノを楽しむ。,ピアノ演奏、写真撮影、読書（特に小説）,今後5年でチームをさらに成長させ、より大きなプロジェクトに携わりたい。また、子供たちが自分で考えられる人間に育つことを望んでいる。,品質と価値に重きをおいて購入する。家族の生活用品は信頼できるブランドを選び、自分用には occasional luxury を楽しむ。,ニュースアプリ、SNS（特に Instagram）、書籍、専門誌,"iPhone, iPad, Windows ノートPC",Instagram: 週5日程度使用。写真共有や情報収集に利用する。,6:00 起床 → 7:00 子供たちの準備と朝食 → 8:00 家を出て電車で出勤 → 9:30 開始 → 12:00 昼食（社内食堂）→ 18:00 帰宅 → 19:00 夕食（家族と一緒に）→ 21:00 子供たちの就寝後、自由時間 → 23:00 就寝,仕事と家庭のバランスを保つこと。子供たちの教育費や将来のことについて考えている。,家族との時間をより質の高いものにしたい。仕事ではチーム内のコミュニケーションを改善し、効率化したい。,"UNIQLO, Apple, Lush, Muji",Netflix（映画やドラマ）、YouTube（料理やDIYの動画）,夫とは大学時代からの同級生で、互いに信頼し合っている。友人グループもあり、定期的に集まっている。,最近、長女がピアノの発表会で演奏し、家族全員で見に行きました。また、新規プロジェクトの提案を成功させ、チームのモチベーションが上がっています。
田中一郎,47,男性,東京都世田谷区,3LDKマンション、築10年,医師（循環器科）,500人以上の大学病院,2000万円以上,東京医科大学卒業,妻（46歳）、長女（18歳）、次男（15歳）,家族の健康と幸せを最優先に考える。仕事も大切だが、バランスを取りたい。,早朝に散歩や軽いジョギングを日課にしている。平日は夜9時頃就寝し、休日は家族と一緒に過ごすことが多い。,読書（主に医学関連の本）、映画鑑賞（SFやミステリーが好き）、料理,最新の医療技術を習得し、より多くの患者さんを救いたい。また、家族との時間を増やすこと。,質重視で購入する。特に健康に良いものを選ぶ傾向がある。,医学雑誌や専門書籍、SNSでの情報交換,iPhone、iPad、スマートウォッチ,医療関係者のための専門的なSNSを使用している。個人的にはFacebookとInstagramを時々利用。,6:00 起床 → 6:30 散歩/ジョギング → 7:00 朝食（家族と）→ 8:00 出勤 → 19:00 帰宅 → 21:00 就寝,高血圧の傾向があるため、健康管理が課題。また、子供たちとのコミュニケーションをより多く取りたい。,効果的なストレスマネジメント方法を見つけたい。家族との時間を増やすアイデアを探している。,Apple、Lexus、無印良品,Netflix（映画やドキュメンタリー）、YouTube（料理動画）,同僚の医師とは定期的に勉強会を開いている。家族との関係は良好。,最近、長女が大学受験を控えており、家庭内のストレスレベルが高まっている。また、新しい診療システムの導入に携わっており、仕事が忙しい。
佐藤美紀,45,女性,東京都港区,分譲マンション（3LDK）,マーケティングディレクター,"大手広告代理店（1,000人以上）",1200万円/年,早稲田大学 商学部卒業,夫（会社員、50歳）、長女（高校生、16歳）、次男（小学校4年生、10歳）,家族の時間を大切にすること。仕事とプライベートのバランスを保つこと。,平日は朝7時に起床し、9時から18時まで会社で働き、19時には帰宅。週末は家族で映画鑑賞や公園でのピクニックを楽しむ。,料理（特にフランス料理）、読書（小説やビジネス本）、ヨガ,5年後にはデジタルマーケティングのエキスパートとして認められ、部下の育成にも注力したい。また、海外旅行に家族で行くことを目標にしている。,商品選びは信頼できるブランドやレビューを重視。特に家族向けの製品には品質を求める。,ビジネス誌、オンラインニュースサイト、SNSでの情報交換,スマートフォン（iPhone）、タブレット（iPad）、ノートPC（MacBook）,Instagram（料理や旅行の写真投稿）、Facebook（友人との交流）,6:30 起床、7:00 家族と朝食を取る、8:30 出社、12:00 昼休憩、18:00 帰宅、19:00 夕食の準備、21:00 子供たちの就寝の見守り、22:00 自身のリラックスタイム（読書やSNS閲覧）,子供たちの進路や教育費、自身のキャリアアップのためのスキル向上、健康維持,家族の健康的な食生活を支える製品、時間短縮可能な家事関連商品、ストレス管理のためのリラクゼーショングッズ,LOUIS VUITTON（バッグ）、COACH（財布）、Panasonic（家電）,Netflix（ドラマや映画）、NHK Eテレ（教育番組）,同僚との良好な関係、友人との定期的な交流、地域の親子会への参加,先月、家族で海外旅行に行ってきました。次女が最近ピアノを始めました。
田中 正夫,57,男性,東京都目黒区,4LDKの一戸建て（自宅）,会社員・部長,大企業（従業員数：500人以上）,年収1000万円〜1200万円,早稲田大学商学部卒業,妻と長女（30歳）、次女（28歳）。長女は結婚して孫が1人いる。,家族の絆を大切にし、社会貢献を心掛けている。リタイア後の生活にも備えている。,朝は早起きし、通勤前に30分程度の散歩をする。週末には近所のゴルフクラブでプレーする。,ゴルフ、読書（経済・歴史）、旅行（国内外）,早期リタイアを目指し、趣味や孫と過ごす時間を増やすこと。地元での社会活動にも参加したい。,品質重視で購入を検討する。ネットショッピングも活用しているが、店舗での試着や確認も重要視している。,新聞（朝日新聞）、テレビニュース、ビジネス雑誌,スマートフォン（iPhone）、タブレット（iPad）、ノートPC（Windows）,LINE（家族との連絡用）、Facebook（同窓会や友人との交流用）,6:00 起床、7:00 散歩、8:00 朝食・新聞読了、9:00 出勤、18:00 帰宅、20:00 夕食、21:30 テレビ視聴・読書、23:00 就寝,高齢化に伴う医療費の増加、孫の教育費用、リタイア後の生活設計,健康管理やリラクゼーションに関する情報を得たい。資産運用についても知識を深めたい。,三宅一生、タトラス、パトリック・コックス,NHK BSプレミアム、Netflix（ドキュメンタリー）,職場での同僚との良好な関係を維持し、地元のゴルフクラブやボランティア活動での人間関係も大切にしている。,先月、家族で海外旅行（ハワイ）に行き、孫と楽しい時間を過ごした。来月は会社の研修旅行が予定されている。
田中 美咲 (Tanaka Misaki),54,女性,東京都世田谷区,3LDKのマンション、オートロック付き,大学教授（社会学部）,中規模 (私立大学),年収約1000万円,東京大学文学部卒業、修士号取得,夫（会社員）、長男（大学生）、長女（高校生）,家族の幸せと社会貢献を大切にし、持続可能な社会づくりに尽力する,朝は6時に起きて早朝散歩をする。週2回ヨガクラスに通う。仕事後は大学近くのカフェでリラックスする時間を持つ。,読書（特に社会学・哲学）、旅行（国内外問わず年1〜2回）、料理、映画鑑賞,大学での研究を深め、若手研究者の育成に力を入れる。将来的にはNPO活動にも関わりたいと考えている。,品質重視で長く使えるものを選ぶ。地元の商店街や直営店を利用する機会が多い。,新聞（朝日新聞）、専門誌、大学図書館のデジタルリソース,"MacBook Pro, iPhone 13, iPad Air",Facebook (家族や友人とのコミュニケーション)、LinkedIn (研究者コミュニティ),6:00 起床 → 6:30 散歩 → 7:30 朝食 → 8:00 家族と会話 → 9:00 出勤 → 12:00 昼食 → 14:00 研究・授業準備 → 18:00 ヨガクラス（週2回）→ 20:00 夕食 → 21:00 読書や映画鑑賞 → 23:00 就寝,高齢化社会の課題、若者のキャリア形成支援、環境問題への取り組み,地域コミュニティとの連携強化、研究費の確保、家族との時間を増やす方法,"無印良品, Apple, コメ兵（古書店）",Netflix (社会問題を扱ったドキュメンタリー)、NHK BSプレミアム,大学の同僚との親しい関係、地域でのボランティア活動を通じたつながり,先月、大学で国際シンポジウムを主催し、海外の研究者と交流。今週末は家族で温泉旅行に行く予定。
伊藤健一,65,男性,東京都目黒区,4LDKのマンション（所有）,中小企業経営者・代表取締役,10〜30人,年収約800万円,慶應義塾大学商学部卒業,妻（62歳）、長男（35歳）、次女（32歳）の4人家族。孫が1人いる。,家族や地域社会との絆を大切にし、健康と余暇を重視する人生観を持つ。,朝は早起きし、散歩や軽いジョギングをする。週2回はジムに通う。仕事の合間には家族や友人と旅行を楽しむ。,ゴルフ、読書（歴史小説）、音楽鑑賞（クラシック）,孫との時間を作りたい。会社の後継者育成とスムーズな引退を目指す。,高品質で信頼できる商品を好む。リピート購入が多い。口コミや評判を重視する。,新聞（日経新聞）、テレビニュース、業界専門誌,スマートフォン（iPhone）、タブレット（iPad）,LINEのみ利用。家族との連絡に使用している。,6:00 起床 → 7:00 散歩・朝食 → 8:30 出社 → 12:00 昼食 → 18:00 帰宅 → 19:00 夕食 → 21:00 読書・リラクゼーション → 23:00 就寝,高齢化に伴う健康問題や家族の将来。会社の後継者問題。,健康管理サポート、孫とのコミュニケーションツール、会社運営のアドバイスと支援,ルイ・ヴィトン、セイコー、ニコン,NHK BSプレミアム、Netflix（歴史ドキュメンタリー）,地元の商工会議所会員として、地域とのつながりを大切にしている。友人グループとはゴルフや食事会で交流がある。,先月、孫の入学式に参加した。来月には家族旅行を計画している。
佐藤美和子,65,女性,神奈川県横浜市港北区,3LDKの分譲マンション（持ち家）,社会福祉士（非常勤）,無所属（地域の福祉施設でパートタイム雇用）,年収約150万円,千葉大学人間科学研究科修士課程修了,夫（70歳、退職済み）、長女（38歳、既婚、2児の母）、次女（36歳、独身）,家族との時間、地域社会への貢献、環境保護,週3日施設で働き、残りの日は家事をしたり趣味を楽しんだりする。週末は孫と遊ぶことを楽しみにしている。,庭いじり（多肉植物）、料理研究、読書（主に小説）、ヨガ,地域でのボランティア活動に積極的に参加すること、孫の成長をサポートすること、老後の生活資金を増やすこと,品質重視。環境負荷が低い商品を選ぶ傾向がある。,地元の新聞、公共機関からのメールマガジン、地域の掲示板,スマートフォン（iPhone）、タブレット（iPad）,Facebook（主に家族との連絡用）、Instagram（多肉植物の写真を投稿）,6:30 起床、7:00 ヨガ、8:00 朝食、9:00 家事、12:00 昼食、14:00 庭仕事/趣味の時間、18:00 晩御飯の準備、19:30 夫との夕食、20:30 読書/テレビ視聴、22:00 就寝,孫の教育環境、地域の高齢者の孤立、自身の健康状態（軽度の膝痛）,孫と過ごすための安全な遊び場所や活動の提供、地域社会での役割を果たす方法、健康維持のための効果的なエクササイズプログラム,無印良品、資生堂、ユニチャーム,NHK BSプレミアム（ドラマ）、Netflix（海外ドラマ）,地元の親しい友人グループ、地域の福祉施設での仲間、孫との絆が強い,先週末に長女一家が訪れ、庭でバーベキューを楽しんだ。次女の結婚式に向けて準備が始まった。
山田 勝利,75,男性,神奈川県横浜市青葉区,3LDKのアパート（4階建て）の2階に住んでいます,元中堅建設会社の技術部長（定年退職後、非常勤講師として大学で建築を教えています）,500人程度の中堅企業,退職金と非常勤講師の収入合わせて年間約300万円,東京工業大学工学部土木工学科卒業,妻（74歳）と長女（48歳）、次男（45歳）。孫が2人います,家族との時間、地域社会への貢献、持続可能な生活を大切にしています,早起き習慣があり、朝は散歩や新聞の読書。午前中は大学での授業準備や研究活動。午後は地域のボランティア活動や趣味の時間,庭いじり、写真撮影、旅（孫との旅行を楽しんでいます）、将棋,地域社会への貢献度を高めること、孫たちに良い影響を与え続けること、健康的な生活を送ること,実用品や家族のための贈り物を中心に購入。品質と持続可能性を重視しています,新聞（朝日新聞）、テレビニュース、地域の広報誌、大学の研究報告書,スマートフォン（Android）、デジタルカメラ、タブレット（iPad）,Facebookを週1〜2回利用して孫たちの近況をチェックしています,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:00 大学での授業準備や研究活動 → 12:00 昼食 → 14:00 地域のボランティア活動 → 16:00 趣味の時間（庭いじり、写真撮影など）→ 19:00 夕食 → 20:30 ニュース番組視聴 → 22:00 就寝,孫たちの成長と教育、地域社会の持続可能性、自身の健康状態,家族とのつながりを深めたい、地域社会への貢献方法を探している、健康維持のために適切な運動法や食事法を見つけたい,Canon（カメラ）、Panasonic（家電製品）、Patagonia（エコフレンドリーな衣料品）,NHKニュース、地元のテレビ局の夕方ニュース、孫たちが好きなアニメや映画を見ます,家族とは週1回の食事会で集まる。大学の同僚との交流もある。地域でのボランティア活動を通じて多くの仲間とつながっている,先月は孫の誕生日を祝うために家族旅行に行きました。今月は地域の公民館で環境問題についての講演会に参加しました
佐藤花子,75,女性,東京都世田谷区,一戸建て（3LDK）,元保育士、現在は地域のボランティア活動に参加,個人事業主,年金収入約200万円,専門学校卒業（保育士養成コース）,夫（78歳、元会社員）、長女（45歳、公務員）、次男（43歳、起業家）、孫3人,家族との時間を大切にすること、地域のコミュニティに貢献すること,朝は早起きして散歩をし、午前中はボランティア活動や趣味に時間を使う。午後は孫と遊んだり、近所の人たちと交流する。,読書（特に小説）、手芸、料理,孫の成長を見守ること、地域のためにできるだけ貢献すること,必要なもの以外は節約的。ただし、家族や自分の健康に役立つものは積極的に購入する。,地元新聞、テレビニュース、近所の人からの情報,スマートフォン（iPhone）、タブレット（iPad）,Facebook（主に孫の写真を共有）,5:30 起床、6:00 散歩、7:00 朝食準備、8:00 ボランティア活動出発、12:00 昼食、午後は孫と遊ぶまたは趣味に没頭、19:00 夕食、21:00 就寝,高齢化による健康問題、孫の教育や将来への不安,健康的な食事や運動に関する情報、孫の成長支援のためのリソース,無印良品、伊藤園,NHKドラマ、YouTube（料理や手芸の動画）,近所の人たちとの良好な関係、地域のボランティアグループメンバーと交流がある,孫の入学式に参加した、新しい趣味としてヨガを始めることに決めた
田中正夫,85,男性,東京都世田谷区,3LDKのマンション（自宅）,元大学教授・現在は非常勤講師,大規模な私立大学,年収約250万円（非常勤講師としての報酬）,東京大学文学部卒業、博士号取得,妻と娘夫婦、孫3人と同居,家族や地域社会とのつながりを重視し、教育を通じて若者に知識を伝えることの意義を感じている,早起きを心がけ、朝は散歩や読書、午後は大学での講義や研究に取り組む。週末は家族との時間を大切にする,園芸、将棋、古典文学の翻訳,孫たちが健やかに成長することを願い、自分の経験や知識を次世代に継承したいと考えている,必要最低限のものだけを購入し、品質と耐久性を重視する。地元の商店街で買い物することが多い,新聞（朝日新聞）、専門誌、学術論文、NHKニュース,スマートフォン（iPhone）、PC（Mac）,Facebookを週に1回程度利用し、旧友や同僚との交流を楽しんでいる。SNSでの個人情報の取り扱いには慎重である,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:00 読書や研究 → 12:00 昼食 → 13:00 非常勤講師の準備やメールチェック → 16:00 家庭内の雑用 → 18:00 晩ごはん（家族と）→ 20:00 お風呂 → 21:00 TV鑑賞や孫との遊び → 23:00 就寝,高齢化に伴う体力の低下、記憶力の衰え。また、家族の健康状態にも気を配っている,健康維持と生活の質の向上のために、適切な医療や介護サービスを受けたい。孫たちとのコミュニケーションをより充実させたいと考えている,ソニー、パナソニック、日立,NHK BSプレミアムで放送される文化番組、クラシック音楽のコンサート映像,地元の自治会やPTAに参加し、地域の人々との交流を深めている。大学時代の同窓会にも積極的に参加する,先日、孫娘が入園式を迎え、感動した。また、最近はオンラインでの教育やコミュニケーションが増え、新しい技術に取り組んでいる
佐藤はなこ,84,女性,東京都港区,高級マンション（3LDK）,元小学校教諭・現在は市民活動のボランティア,無所属,年金生活（約200万円/年）,早稲田大学教育学部卒業,夫（故人）、娘1人、孫2人。娘は看護師として働いており、孫たちは大学生と高校生。,家族との絆を大切にし、地域社会への貢献も重視している。環境保護にも興味がある。,健康的な生活を心がけている。朝は散歩をし、昼間はボランティア活動や読書、夜は映画鑑賞などを行う。,園芸、旅行（国内外）、読書、クラシック音楽の鑑賞,孫たちが独立するまでサポートすること。地域社会でより多くの人に貢献したい。,品質と持続可能性を重視する。地元の商店やオンラインショッピングを利用している。,新聞（朝日新聞）、テレビニュース、インターネット（SNSやニュースサイト）,スマートフォン（iPhone）、タブレット（iPad）、電子書籍リーダー（Kindle）,Facebook（友人や同窓生との交流）、Instagram（旅行の写真共有）,6:00 起床 → 7:00 散歩 → 8:00 朝食 → 9:30 ボランティア活動 → 12:00 昼食 → 14:00 読書/映画鑑賞 → 18:00 娘と孫たちの夕食準備 → 20:00 夕食 → 21:30 SNSチェックやメール確認 → 23:00 就寝,年齢とともに健康が気になる。孫たちの将来も心配している。,健康管理に役立つ商品やサービス、孫たちの学びをサポートする方法を探している。,無印良品、资生堂、コメ兵,NHKドラマ、スタジオジブリ作品、Netflixのドキュメンタリー番組,地元の友人や同窓生との関係が良好。近所の人々とも親しくしている。,先月、孫と一緒に旅行に行き、孫たちと楽しい時間を過ごした。今週末には地域のボランティアイベントに参加予定。
田中健一郎,94,男性,東京都目黒区,高齢者向けのアパートメント（1K）,元大手製薬会社の社長、現在は顧問,従業員数約5000人,年収1200万円（退職金含む）,東京大学医学部卒業,妻（89歳）、長男（65歳、医師）、次女（63歳、教師）、孫2人（14歳と10歳）,家族を大切にし、社会貢献を重視。健康や知識の継続的な向上にも力を入れている。,毎日早朝散歩をし、午前中に読書や趣味の時間を持つ。週2回は近くの高齢者施設でボランティア活動をしている。,日本画・水墨画、将棋、クラシック音楽鑑賞,孫たちに日本の伝統文化を伝え、健康的な生活を維持すること。また、地元の高齢者支援活動を通じて社会貢献をする。,品質と信頼性を重視し、長く使えるものを選ぶ傾向がある。特に健康に関連する商品やサービスには注目している。,新聞（朝日新聞）、テレビニュース、高齢者向けの雑誌,スマートフォン（iPhone）、タブレット（iPad）,LINE（主に家族との連絡用）、Facebook（同窓会や友人との交流用）,6:00 起床、7:00 散歩、8:00 朝食、9:00 読書・趣味の時間、12:00 昼食、13:00 午睡、15:00 ボランティア活動または友人と会う、18:00 夕食、20:00 晩酌、21:00 就寝,認知症のリスクや健康状態の変化、家族の安全と幸せ,健康的な生活を維持するための支援、孫たちとのコミュニケーションの機会、地元コミュニティでの役割,三越、高島屋、タチジャパン（健康食品）,NHK Eテレ『きょうの料理』、NHK BSプレミアム『クラシック倶楽部』,孫たちとの関係が最も大切。近所の友人たちとも頻繁に交流している。,先日、孫娘のピアノ発表会を見に行った。また、地元の高齢者施設で新しくボランティア活動を始めた。
田中 寿美子,94,女性,神奈川県横浜市,3LDKのマンション（2人暮らし）,元小学校教諭、現在はシニアカウンセラー（非常勤）,NPO法人『高齢者サポートセンター』（50名未満）,年収約200万円（非常勤のため時給制）,横浜市立大学教育学部卒業,夫と2人暮らし。娘1人と息子1人は独立しており、孫が3人いる。,家族との時間、地域社会への貢献、健康維持、知識の継承,朝は散歩や体操を楽しみ、午後は地域の高齢者施設でボランティア活動。週1回は孫たちとSkypeで会話する。,水彩画、読書（特に歴史小説）、将棋、旅行（国内）,100歳まで生きること、地域社会のリーダーとして活躍すること,必要最低限のものしか購入せず、品質を重視する。オンラインショッピングも利用するが、店頭での対面販売が好み。,新聞（毎日読む）、テレビニュース、地域の情報誌,スマートフォン（孫からの連絡用）、タブレット（ZoomやSNSの利用）,Facebook（主に家族とのコミュニケーション用）、LINE（友人との連絡用）,6:00 起床、7:00 散歩と体操、8:00 朝食、9:00 読書や趣味の時間、12:00 昼食、14:00 ボランティア活動または休憩、18:00 夕食、20:00 テレビ鑑賞、22:00 就寝,体調管理（特に膝の痛み）、家族の健康や生活環境、地域社会の課題,健康的な生活のためのアドバイスやサポート、孫たちとの関係を深めること、地域の高齢者支援プログラムの充実,無印良品（シンプルで品質が高い）、ユニクロ（快適でリーズナブル）,NHK歴史番組、『ちむどんどん』（孫が好きなので一緒に見る）,地域の高齢者グループや学校の同窓会に参加している。友人とは定期的に茶話会を開く。,先日、孫の卒業式に出席し、家族全員で旅行に行った。また、地域のイベントで表彰を受けた。
山田 知恵男,107,男性,東京都港区,高級住宅街の戸建て（3LDK）,元大学教授、現顧問,私立大学,年収800万円（退職金含む）,東京大学文学部卒業、博士号取得,妻1人（79歳）、長男1人（55歳）、孫2人（30歳、27歳）,家族愛、教育の重要性、社会貢献,朝は早起きし、散歩と軽い運動を日課としている。午前中は読書や研究活動に時間を費やす。,日本画の鑑賞、将棋、古典文学の読書,次世代への教育の提供と知識の継承、孫たちの成長を見守る,品質重視。必要性を感じたものだけを購入する。,新聞（朝日新聞）、専門誌、大学関連の情報,iPad、スマートウォッチ,SNSは使用していないが、孫とメールやビデオチャットでコミュニケーションを取る,6:00 起床 → 7:00 散歩・軽い運動 → 8:00 朝食 → 9:00 読書・研究活動 → 12:00 昼食 → 13:00 午後の活動（将棋や孫との時間）→ 18:00 夕食 → 20:00 就寝,年齢による身体の衰え、家族の健康と幸せ、教育の質の低下,健康的な生活を維持するためのサポート、孫たちの成長を見守る機会、研究や趣味に没頭できる時間,"Apple, Cartier",NHK教育テレビ、古典文学の映画・ドラマ,大学時代からの友人との交流が続く。孫たちと密な関係を保っている。,孫の結婚式に出席し、幸せを感じた。最近は地元の文化祭で日本画の展示を行った。
佐藤千尋,107,女性,東京都目黒区,高層マンションの2LDK（エレベーター付き）,元大学教授、現名誉教授,無所属（個人研究者）,退職金と年金生活（年収約300万円）,東京大学文学部卒業、博士号取得,未婚、甥・姪たちとは親しい関係を保っている,知識の追求と社会への貢献、自然との調和,健康的な食生活、定期的なウォーキング、読書、孫たちとの交流,古典文学の研究、庭いじり、旅行（国内中心）,若い世代に知識を伝承すること、生涯学習の推進,必要最小限の消費、品質重視、環境に配慮した商品を好む,新聞・雑誌、テレビニュース、書籍、インターネット（信頼できるサイト）,スマートフォン、タブレットPC、電子書籍リーダー,Facebookでの家族との交流、研究者向けのオンラインコミュニティ参加,7:00 起床 → 8:00 朝食 → 9:00 庭仕事 → 12:00 昼食 → 13:00 研究や執筆活動 → 17:00 散歩 → 19:00 夕食 → 20:00 テレビ鑑賞 → 22:00 就寝,健康維持、認知症の予防、家族との関係性の維持,高齢者のための学習機会の提供、介護や健康管理に関する情報,無印良品、三越伊勢丹、紀伊國屋書店,NHK教育テレビ、BS日テレ『ブラタモリ』、吉田修一の小説,友人や同僚との定期的な会合、孫たちとの絆を大切にしている,先月、母校の学術研究会で講演を行った。来月は甥の結婚式に出席する予定
